,City,Unnamed: 0,ID,Date,DateType,Age,Sex,Race,ResidenceCity,ResidenceCounty,ResidenceState,DeathCounty,Location,LocationifOther,DescriptionofInjury,InjuryPlace,InjuryCity,InjuryCounty,InjuryState,COD,OtherSignifican,Heroin,Cocaine,Fentanyl,Oxycodone,Oxymorphone,Ethanol,Hydrocodone,Benzodiazepine,Methadone,Amphetamine,Tramadol,Morphine Not Heroin,Hydromorphone,Other,MannerofDeath,Latitude,Longitude
27,CANTON,10,10,10,10,10,10,10,10,8,5,10,9,3,10,10,5,5,3,10,0,3,3,4,1,0,3,0,5,0,2,0,0,0,4,10,41.8247572,-72.8956177
28,CENTRAL VILLAGE,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,41.7284347,-71.90308279999999
29,CHAPLIN,3,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,41.7948205,-72.1272989
30,CHESHIRE,8,8,8,8,8,8,8,8,6,5,8,8,1,7,8,4,4,3,8,0,3,3,2,1,1,1,0,4,1,0,2,0,0,0,8,41.5083668,-72.9106202
31,CHESTER,4,4,4,4,4,4,4,4,3,2,2,4,0,4,4,2,1,0,4,0,2,0,3,1,0,1,0,0,1,0,0,0,0,0,4,41.4022081,-72.4824991
32,CLINTON,19,19,19,19,19,19,19,19,15,13,17,19,1,17,19,11,9,4,19,1,6,5,11,4,2,1,0,6,4,1,0,0,0,1,19,41.2882208,-72.5288034
33,COLCHESTER,10,10,10,10,10,10,10,10,10,9,7,10,1,9,10,9,6,2,10,1,1,3,6,3,0,3,0,3,0,0,0,0,1,1,10,41.5756728,-72.3320051
34,COLUMBIA,7,7,7,7,7,7,7,7,7,7,6,7,1,4,7,7,5,4,7,0,2,2,5,0,0,1,0,2,0,1,0,1,0,1,7,41.7020432,-72.30119169999999
35,CORNWALL BRIDGE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,41.8187793,-73.3707551
36,COS COB,3,3,3,3,3,3,3,3,2,2,2,3,1,3,3,2,1,1,3,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,3,41.0340436,-73.59964719999999
37,COVENTRY,9,9,9,9,9,9,9,9,4,2,8,9,2,9,9,2,2,2,9,2,3,1,3,3,0,3,0,2,0,0,0,1,1,2,9,41.78468,-72.3393021
38,CROMWELL,8,8,8,8,8,8,8,8,7,6,5,8,1,8,8,6,4,2,8,0,3,3,6,1,0,3,2,2,0,0,0,0,0,1,8,41.5950989,-72.6453705
39,DANBURY,121,121,121,121,121,121,121,121,107,83,91,120,10,101,121,74,47,29,121,2,63,28,40,13,1,22,3,31,11,4,6,0,0,16,121,41.394817,-73.4540111
40,DANIELSON,6,6,6,6,6,6,6,6,6,6,6,6,0,4,6,4,4,2,6,0,1,1,3,1,0,2,0,1,0,1,1,0,0,0,6,41.8025986,-71.8859054
41,DARIEN,3,3,3,3,3,3,3,3,3,2,2,3,0,2,3,1,0,0,3,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,3,41.0771914,-73.4686858
42,DAYVILLE,6,6,6,6,6,6,6,6,6,5,3,6,1,6,6,5,2,2,6,0,2,3,4,0,0,2,0,1,0,0,0,0,0,1,6,41.84556509999999,-71.886358
43,DEEP RIVER,8,8,8,8,8,8,8,8,5,4,5,8,0,8,8,4,2,2,8,0,6,0,3,2,0,5,0,2,0,0,0,0,0,1,8,41.3648171,-72.4849861
44,DERBY,64,64,64,64,64,64,64,64,56,46,50,64,1,52,63,43,30,18,64,0,33,16,25,12,2,15,2,24,10,3,1,1,1,3,64,41.3206523,-73.0889973
45,DURHAM,5,5,5,5,5,5,5,5,5,3,5,5,1,3,5,2,2,1,5,1,3,1,2,2,1,1,0,1,1,0,0,0,0,0,5,41.4817822,-72.6812582
46,EAST CANAAN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,42.01353719999999,-73.28345709999999
47,EAST GRANBY,2,2,2,2,2,2,2,2,1,1,2,2,0,2,2,1,1,1,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,41.9412081,-72.7273158
48,EAST HADDAM,5,5,5,5,5,5,5,5,4,3,4,5,1,4,5,3,2,2,5,0,3,2,2,0,0,0,0,0,0,0,1,0,0,1,5,41.5034351,-72.4757767
49,EAST HAMPTON,15,15,15,15,15,15,15,15,15,12,13,15,1,11,15,10,8,6,15,0,4,3,4,2,1,3,1,6,2,0,1,1,0,1,15,41.5757748,-72.5026249
