,month
1873,11
1874,12
1875,6
1876,3
1877,5
1878,11
1879,10
1880,12
1881,10
1882,2
1883,3
1884,7
1885,5
1886,6
1887,11
1888,6
1889,9
1890,2
1891,10
1892,8
1893,1
1894,8
1895,2
1896,7
1897,8
1898,2
1899,5
1900,5
1901,8
1902,11
1903,9
1904,8
1905,10
1906,4
1907,7
1908,2
1909,9
1910,4
1911,3
1912,5
1913,3
1914,1
1915,5
1916,3
1917,12
1918,5
1919,8
1920,6
1921,10
1922,8
1923,1
1924,11
1925,1
1926,5
1927,8
1928,4
1929,8
1930,2
1931,4
1932,6
1933,8
1934,6
1935,4
1936,7
1937,5
1938,10
1939,8
1940,7
1941,9
1942,1
1943,7
1944,12
1945,5
1946,9
1947,2
1948,4
1949,12
1950,11
1951,1
1952,6
1953,4
1954,9
1955,7
1956,7
1957,12
1958,8
1959,7
1960,7
1961,10
1962,5
1963,8
1964,9
1965,6
1966,6
1967,5
1968,9
1969,5
1970,12
1971,5
1972,7
1973,8
1974,9
1975,2
1976,3
1977,3
1978,3
1979,6
1980,8
1981,7
1982,6
1983,8
1984,10
1985,6
1986,11
1987,4
1988,1
1989,9
1990,7
1991,12
1992,3
1993,8
1994,8
1995,11
1996,12
1997,11
1998,3
1999,6
2000,1
2001,6
2002,8
2003,7
2004,10
2005,9
2006,4
2007,7
2008,7
2009,5
2010,11
2011,5
2012,12
2013,7
2014,4
2015,6
2016,3
2017,10
2018,4
2019,7
2020,2
2021,10
2022,6
2023,4
2024,6
2025,11
2026,1
2027,8
2028,6
2029,1
2030,10
2031,3
2032,9
2033,3
2034,3
2035,10
2036,2
2037,6
2038,12
2039,10
2040,7
2041,1
2042,10
2043,4
2044,12
2045,1
2046,11
2047,4
2048,9
2049,11
2050,7
2051,8
2052,8
2053,9
2054,6
2055,10
2056,4
2057,10
2058,2
2059,4
2060,5
2061,8
2062,10
2063,3
2064,5
2065,5
2066,5
2067,3
2068,3
2069,6
2070,2
2071,6
2072,9
2073,2
2074,9
2075,2
2076,6
2077,6
2078,11
2079,5
2080,10
2081,6
2082,12
2083,7
2084,2
2085,11
2086,8
2087,10
2088,5
2089,1
2090,10
2091,2
2092,4
2093,9
2094,10
2095,4
2096,7
2097,9
2098,1
2099,8
2100,6
2101,1
2102,11
2103,3
2104,5
2105,10
2106,1
2107,9
2108,8
2109,6
2110,4
2111,10
2112,8
2113,9
2114,6
2115,4
2116,11
2117,1
2118,6
2119,3
2120,1
2121,10
2122,1
2123,11
2124,1
2125,7
2126,11
2127,12
2128,12
2129,11
2130,2
2131,5
2132,4
2133,1
2134,12
2135,1
2136,9
2137,1
2138,2
2139,2
2140,4
2141,7
2142,2
2143,7
2144,12
2145,5
2146,11
2147,2
2148,4
2149,3
2150,2
2151,2
2152,5
2153,5
2154,11
2155,8
2156,6
2157,9
2158,1
2159,9
2160,1
2161,10
2162,3
2163,9
2164,2
2165,5
2166,12
2167,8
2168,10
2169,9
2170,9
2171,11
2172,9
2173,4
2174,9
2175,11
2176,8
2177,4
2178,11
2179,12
2180,1
2181,8
2182,6
2183,2
2184,7
2185,2
2186,3
2187,9
2188,9
2189,8
2190,6
2191,6
2192,9
2193,2
2194,8
2195,7
2196,7
2197,12
2198,7
2199,12
2200,6
2201,2
2202,9
2203,12
2204,7
2205,12
2206,11
2207,4
2208,3
2209,2
2210,10
2211,6
2212,2
2213,11
2214,11
2215,6
2216,9
2217,11
2218,2
2219,5
2220,2
2221,10
2222,5
2223,4
2224,8
2225,11
2226,11
2227,6
2228,3
2229,7
2230,8
2231,5
2232,11
2233,9
2234,8
2235,12
2236,11
2237,10
2238,3
2239,1
2240,5
2241,2
2242,6
2243,5
2244,7
2245,4
2246,8
2247,7
2248,9
2249,11
2250,5
2251,5
2252,4
2253,9
2254,6
2255,2
2256,3
2257,2
2258,12
2259,4
2260,6
2261,9
2262,8
2263,1
2264,5
2265,5
2266,12
2267,10
2268,5
2269,7
2270,3
2271,8
2272,8
2273,11
2274,11
2275,12
2276,7
2277,3
2278,10
2279,7
2280,3
2281,4
2282,6
2283,9
2284,10
2285,1
2286,11
2287,7
2288,6
2289,2
2290,11
2291,6
2292,9
2293,12
2294,2
2295,1
2296,2
2297,10
2298,10
2299,9
2300,10
2301,11
2302,6
2303,8
2304,5
2305,2
2306,7
2307,10
2308,3
2309,11
2310,8
2311,7
2312,3
2313,10
2314,7
2315,7
2316,10
2317,4
2318,1
2319,1
2320,2
2321,8
2322,1
2323,8
2324,4
2325,5
2326,7
2327,7
2328,7
2329,3
2330,2
2331,4
2332,10
2333,4
2334,11
2335,6
2336,6
2337,10
2338,6
2339,1
2340,4
2341,6
2342,4
2343,7
2344,2
2345,10
2346,2
2347,11
2348,1
2349,12
2350,7
2351,6
2352,3
2353,8
2354,9
2355,12
2356,7
2357,10
2358,10
2359,6
2360,5
2361,2
2362,1
2363,1
2364,10
2365,5
2366,1
2367,4
2368,6
2369,3
2370,5
2371,7
2372,11
2373,9
2374,3
2375,10
2376,7
2377,1
2378,6
2379,3
2380,6
2381,4
2382,10
2383,3
2384,10
2385,2
2386,9
2387,7
2388,8
2389,11
2390,10
2391,4
2392,4
2393,10
2394,10
2395,6
2396,9
2397,11
2398,5
2399,6
2400,6
2401,9
2402,12
2403,4
2404,7
2405,9
2406,10
2407,1
2408,3
2409,3
2410,1
2411,7
2412,12
2413,3
2414,6
2415,5
2416,11
2417,12
2418,6
2419,4
2420,6
2421,5
2422,4
2423,4
2424,5
2425,5
2426,12
2427,1
2428,10
2429,4
2430,2
2431,2
2432,7
2433,6
2434,6
2435,6
2436,7
2437,9
2438,11
2439,12
2440,1
2441,4
2442,12
2443,6
2444,12
2445,2
2446,3
2447,4
2448,11
2449,2
2450,8
2451,6
2452,6
2453,7
2454,8
2455,4
2456,3
2457,1
2458,8
2459,2
2460,12
2461,4
2462,9
2463,3
2464,8
2465,7
2466,9
2467,1
2468,7
2469,3
2470,11
2471,11
2472,10
2473,10
2474,11
2475,2
2476,6
2477,10
2478,9
2479,1
2480,3
2481,5
2482,7
2483,5
2484,12
2485,12
2486,3
2487,1
2488,9
2489,9
2490,3
2491,9
2492,12
2493,6
2494,12
2495,7
2496,8
2497,2
2498,10
2499,1
2500,11
2501,12
2502,12
2503,3
2504,5
2505,5
2506,4
2507,1
2508,10
2509,7
2510,5
2511,7
2512,8
2513,1
2514,1
2515,10
2516,11
2517,10
2518,3
2519,7
2520,8
2521,11
2522,6
2523,12
2524,3
2525,9
2526,1
2527,10
2528,1
2529,12
2530,12
2531,8
2532,5
2533,6
2534,10
2535,10
2536,6
2537,12
2538,12
2539,3
2540,10
